SNO.,ROLL NUMBER,Q1 (5),Q2 (5),Q3 (5),Q4 (5),Q5 (5),Q6 (5),Q7 (5),Q8 (5),Q9 (5),Q10 (5),Q11 (5),Q12 (5),Top 9 (out of 45),Out of 30
83,102203135,4,4,4,5,4,3,4,2,5,5,5,5,41,27.3
84,102203139,5,5,5,5,2,4,4,5,4,5,5,4,43,28.7
85,102203140,2,2,4,5,2,4,5,2,2,AB,4,4,32,21.3
86,102203142,5,4,4,5,3,3,5,4,5,5,5,5,43,28.7
87,102203150,5,2,4,5,4,5,AB,AB,AB,5,AB,AB,30,20.0
88,102203151,5,4,5,5,3,5,5,5,5,5,5,5,45,30.0
89,102203152,4,4,5,5,3,4,3,4,4,5,5,5,41,27.3
90,102203155,5,3,4,5,2,5,5,5,5,5,5,5,45,30.0
91,102203156,AB,4,4,4,4,5,5,3,5,5,5,3,41,27.3
92,102203157,3,4,5,5,2,5,3,4,4,5,4,5,41,27.3
93,102203158,5,3,4,3,1,5,4,4,5,5,5,5,42,28.0
94,102203159,5,AB,3,4,3,4,3,5,5,5,5,2,39,26.0
95,102203160,AB,4,4,5,3,5,4,5,AB,5,1,5,40,26.7
96,102203161,4,2,4,5,4,4,2,4,5,5,4,5,40,26.7
97,102203163,4,4,4,3,3,3,2,3,2,5,4,5,35,23.3
98,102203164,5,4,5,5,4,5,4,5,5,AB,5,5,44,29.3
99,102203166,4,5,4,5,2,4,5,4,5,5,5,5,43,28.7
100,102203167,4,4,AB,AB,3,5,3,3,5,5,5,5,39,26.0
101,102203170,AB,AB,4,5,5,4,AB,AB,5,5,5,5,38,25.3
102,102203172,3,AB,4,5,4,5,4,AB,5,5,5,5,42,28.0
103,102203173,5,2,5,4,4,4,4,3,5,5,5,4,41,27.3
104,102203175,3,3,5,4,5,5,4,4,5,5,5,5,43,28.7
105,102203177,4,3,4,5,3,4,2,5,AB,5,AB,AB,35,23.3
106,102203179,3,3,5,5,3,2,4,3,5,5,5,5,40,26.7
107,102203181,4,2,4,5,2,5,3,4,4,5,5,AB,39,26.0
108,102203183,4,4,4,3,4,4,4,4,4,4,5,4,37,24.7
109,102203184,AB,2,4,5,5,4,4,5,4,5,4,3,40,26.7
110,102203187,5,AB,4,4,4,4,2,5,5,5,5,AB,41,27.3
111,102203188,5,3,3,4,2,4,4,4,5,5,5,AB,39,26.0
112,102203190,5,4,3,AB,4,4,4,AB,5,5,5,5,41,27.3
113,102203191,5,2,4,5,3,5,4,3,5,5,5,5,43,28.7
114,102203192,AB,AB,AB,AB,4,4,AB,AB,5,4,5,5,27,18.0
115,102203193,2,3,4,5,4,5,4,4,5,5,5,4,41,27.3
116,102203194,5,3,4,5,5,4,5,4,5,4,4,5,42,28.0
117,102203195,5,4,5,4,4,4,AB,3,5,5,5,5,42,28.0
118,102203197,5,2,3,4,3,4,5,4,4,5,4,5,40,26.7
119,102203198,5,3,2,3,3,5,4,4,5,5,5,5,41,27.3
120,102203200,AB,4,3,4,3,5,3,5,5,5,5,5,41,27.3
121,102203205,5,5,5,5,3,5,3,4,5,5,5,5,45,30.0
122,102203207,5,3,4,5,2,4,3,4,5,5,5,5,42,28.0
123,102203208,5,4,5,4,4,5,3,3,5,5,5,3,42,28.0
124,102203211,3,4,5,5,3,4,4,4,3,5,5,5,41,27.3
125,102203262,5,AB,3,5,3,5,5,3,5,5,4,5,42,28.0
126,102203315,4,3,3,4,5,5,AB,AB,AB,5,AB,4,33,22.0
127,102203354,5,AB,5,4,3,5,5,4,5,5,4,4,42,28.0
128,102203402,4,5,5,4,2,4,2,5,5,5,5,2,42,28.0
129,102203530,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
130,102203541,5,AB,4,4,3,4,3,4,5,5,5,AB,39,26.0
131,102203574,AB,AB,AB,4,4,4,AB,4,5,5,5,5,36,24.0
132,102203651,4,AB,5,4,5,5,4,2,5,5,5,AB,42,28.0
133,102203745,5,AB,5,4,3,5,4,4,5,5,4,5,42,28.0
134,102203757,4,AB,2,4,3,5,AB,AB,5,5,5,5,38,25.3
135,102203787,AB,AB,2,5,2,4,3,3,4,5,3,3,32,21.3
136,102203889,AB,AB,AB,AB,AB,AB,AB,3,3,5,5,3,19,12.7
137,102203894,5,5,5,4,4,5,3,4,5,4,4,5,42,28.0
138,102203959,4,AB,5,5,5,4,3,5,4,AB,5,3,40,26.7
139,102203961,5,2,4,5,4,4,3,4,5,5,5,5,42,28.0
140,102203962,5,3,4,4,4,4,5,5,5,5,5,5,43,28.7
141,102203963,5,AB,3,5,3,5,AB,AB,4,5,5,3,38,25.3
142,102213016,5,3,3,4,4,5,4,5,5,5,4,4,41,27.3
143,102213027,5,3,4,5,3,4,4,5,5,5,2,4,41,27.3
144,102213028,AB,2,4,5,4,5,5,4,4,5,5,5,42,28.0
145,102253016,AB,0,AB,5,2,5,AB,3,5,5,5,3,33,22.0
146,102383002,4,1,4,4,4,5,3,4,5,5,4,4,39,26.0
147,102383003,5,2,5,5,3,5,5,4,5,AB,5,AB,42,28.0
